ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV178,108,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.85,Violaceae,0.82,Viola,0.81,,0.24,Genus,0.81,+
ASV18,4481,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.7,,0.23,,,Class,1.0,+
ASV180,107,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.21,,0.15,,0.15,,,Class,1.0,+
ASV181,103,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Cupressales,1.0,Cupressaceae,1.0,,0.54,,0.49,Family,1.0,+
ASV182,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,+
ASV183,101,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.64,,0.55,,,Class,1.0,-
ASV184,101,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.8,,0.77,,0.75,,,Order,0.8,+
ASV185,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,0.99,Lamiaceae,0.99,,0.39,,,Family,0.99,+
ASV186,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.84,Primulaceae,0.84,,0.52,,0.49,Family,0.84,+
ASV187,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ranunculales,0.99,Ranunculaceae,0.99,Clematis,0.96,,,Genus,0.96,+
ASV188,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.86,Violaceae,0.84,Viola,0.8,,0.19,Genus,0.8,+
ASV189,91,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,1.0,Juncaceae,1.0,Luzula,1.0,Luzula acuminata,0.97,Species,0.97,-
ASV19,4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4416,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.75,,0.73,,0.19,,,Class,1.0,+
ASV191,90,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.46,,0.46,Family,1.0,+
ASV193,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,+
ASV196,84,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.78,,0.78,,0.49,,,Class,1.0,+
ASV197,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Sapindales,0.93,Sapindaceae,0.93,Acer,0.91,,0.6,Genus,0.91,+
ASV198,81,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.41,,0.29,,0.14,,0.1,Class,1.0,+
ASV199,81,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.54,,0.54,,0.16,,0.15,Class,1.0,+
ASV2,11211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11211,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.66,,0.16,,,Class,1.0,+
ASV20,4251,0,0,0,0,0,0,0,0,0,0,0,4251,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,,0.76,,0.15,,0.1,Order,0.81,+
ASV202,78,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.52,,0.51,,0.18,,,Class,1.0,-
ASV203,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.42,,0.4,,0.4,,0.26,Class,1.0,+
ASV206,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.41,,0.31,,0.23,,0.12,Class,1.0,+
ASV207,75,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.96,Poaceae,0.91,,,,,Family,0.91,+
ASV208,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Fabales,0.91,Fabaceae,0.91,,0.35,,0.2,Family,0.91,+
ASV209,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.48,,0.43,,0.25,Class,1.0,+
ASV21,3732,0,0,0,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.71,,0.19,,,Class,1.0,+
ASV210,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.96,Juncaceae,0.96,Luzula,0.96,Luzula acuminata,0.93,Species,0.93,-
ASV211,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.67,,0.2,,0.2,Class,1.0,+
ASV212,72,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.42,,0.35,,0.25,,0.11,Class,1.0,+
ASV214,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Fabales,0.9,Fabaceae,0.9,,0.34,,0.34,Family,0.9,+
ASV215,71,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.57,,0.31,,0.12,,0.12,Class,1.0,+
