ASV204	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Xylariales(1.00),f:Xylariaceae(1.00),g:Xylaria(1.00),s:Xylaria_longipes(0.98)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Xylaria,s:Xylaria_longipes
ASV206	k:Fungi(1.00),p:Ascomycota(0.43),c:Saccharomycetes(0.12),o:Saccharomycetales(0.12),f:Trichomonascaceae(0.03),g:Sugiyamaella(0.03),s:Sugiyamaella_qingdaonensis(0.02)	+	k:Fungi
ASV208	k:Fungi(1.00),p:Basidiomycota(0.99),c:Tremellomycetes(0.99),o:Tremellales(0.92),f:Tremellaceae(0.83),g:Cryptococcus(0.77),s:Cryptococcus_victoriae(0.60)	+	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae
ASV21	k:Fungi(1.00),p:Ascomycota(1.00),c:Leotiomycetes(0.95),o:Thelebolales(0.95),f:Thelebolaceae(0.95)	+	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae
ASV210	k:Fungi(1.00),p:Ascomycota(1.00),c:Eurotiomycetes(0.78),o:Chaetothyriales(0.68),f:Chaetothyriaceae(0.45),g:Cyphellophora(0.27),s:Cyphellophora_reptans(0.12)	+	k:Fungi,p:Ascomycota
ASV212	k:Fungi(1.00),p:Basidiomycota(1.00),c:Tremellomycetes(1.00),o:Trichosporonales(1.00),f:Trichosporonaceae(1.00),g:Cutaneotrichosporon(0.56),s:Cutaneotrichosporon_moniliiforme(0.45)	+	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae
ASV200	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(0.99),f:Bionectriaceae(0.51),g:Acremonium(0.51),s:Acremonium_sp.(0.51)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
ASV213	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(0.99),o:Pleosporales(0.99)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
ASV214	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(1.00),f:Stachybotryaceae(0.57),g:Alfaria(0.57),s:Alfaria_junci(0.57)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
ASV215	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(1.00),o:Pleosporales(0.87),g:Phoma(0.50),s:Phoma_multirostrata(0.45)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
ASV216	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Psathyrellaceae(1.00),g:Coprinopsis(1.00),s:Coprinopsis_semitalis(1.00)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae,g:Coprinopsis,s:Coprinopsis_semitalis
ASV201	k:Fungi(1.00),p:Ascomycota(1.00)	+	k:Fungi,p:Ascomycota
ASV217	k:Fungi(1.00),p:Basidiomycota(0.63),c:Agaricomycetes(0.54),o:Agaricales(0.21),f:Inocybaceae(0.05),g:Inocybe(0.05),s:Inocybe_acuta(0.01)	+	k:Fungi
