ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV239,51,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,0.8,,0.63,,0.26,,0.26,Order,0.8,+
ASV24,2503,0,0,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.7,,0.24,,,Class,1.0,+
ASV241,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.57,,0.4,,0.36,,0.24,Class,1.0,+
ASV242,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.61,,0.19,,,Class,1.0,+
ASV243,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.63,,0.63,,0.27,,,Class,1.0,+
ASV245,49,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.35,,0.27,,0.27,,,Class,1.0,-
ASV246,49,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.62,,0.15,,0.15,Class,1.0,+
ASV247,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.55,,0.19,,0.19,Class,1.0,+
ASV248,48,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.43,,0.38,,0.14,,0.06,Class,1.0,+
ASV25,2381,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.69,,0.69,,0.19,,0.04,Class,1.0,+
ASV250,47,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.37,,0.34,,0.34,,0.18,Class,1.0,+
ASV251,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.35,,0.32,,0.32,,0.23,Class,1.0,+
ASV252,46,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.48,,0.48,,0.19,,0.12,Class,1.0,+
ASV253,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.62,,0.2,,,Class,1.0,+
ASV254,45,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.5,,0.36,,0.22,,0.16,Class,1.0,+
ASV256,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.42,,0.17,,,,,Class,1.0,+
ASV259,44,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.45,,0.45,,0.43,,0.35,Class,1.0,+
ASV26,2284,0,0,0,0,0,0,0,0,0,0,2284,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.77,,0.75,,0.2,,,Class,1.0,+
ASV260,44,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.81,,0.79,,0.47,,0.44,Order,0.81,+
